"email";"color";"age";"id";"name"
"bicha@yahoo.com";"red";20;2;"racem"
"bicha@yahoo.com";"red";20;2;"racem"
"bicha@yahoo.com";"red";20;2;"racem"
"bicha@yahoo.com";"red";20;2;"racem"
"bicha@yahoo.com";"red";20;2;"racem"
"za@gmail.com";"pink";35;"undefined";"undefined"
"za@gmail.com";"pink";35;"undefined";"undefined"
"za@gmail.com";"pink";35;"undefined";"undefined"
"za@gmail.com";"pink";35;"undefined";"undefined"
"za@gmail.com";"pink";35;"undefined";"undefined"
"ranim@gmail.com";"yellow";22;"undefined";"undefined"
"ranim@gmail.com";"yellow";22;"undefined";"undefined"
"ranim@gmail.com";"yellow";22;"undefined";"undefined"
"ranim@gmail.com";"yellow";22;"undefined";"undefined"
"ranim@gmail.com";"yellow";22;"undefined";"undefined"
"hamza@yahoo.com";"black";30;3;"hamza"
"hamza@yahoo.com";"black";30;3;"hamza"
"hamza@yahoo.com";"black";30;3;"hamza"
"hamza@yahoo.com";"black";30;3;"hamza"
"hamza@yahoo.com";"black";30;3;"hamza"
"r@gmail.com";"black";20;1;"ranim"
"ranim@outlook.com";"black";15;4;"ranim"
"said@gmail.com";"black";15;5;"said"
